ind,Capito_auratus,Dacnis_cayana,Dixiphia_pipra,Dixiphia_rubrocapilla,Euphonia_laniirostris,Euphonia_rufiventris,Lepidothrix_coronata,Lipaugus_vociferans,Pachyramphus_rufus,Patagioenas_plumbea,Pteroglossus_beauharnaesii,Tachyphonus_luctuosus,Tachyphonus_surinamus,Tangara_chilensis,Tangara_schrankii,Tangara_velia,Tityra_inquisitor,Trogon_collaris,Trogon_melanurus,Trogon_mesurus,Turdus_albicollis,Patagioenas_subvinacea,Euphonia_chlorotica,Euphonia_minuta,Tangara_gyrola,Tyranneutes_stolzmanni,Celeus_elegans,Cotinga_maynana,Ramphastos_tucanus,Rhytipterna_simplex,Trogon_violaceus,Ramphastos_vitellinus,Machaeroptus_regulus,Tityra_semifasciata,Chlorophanes_spiza,Pteroglossus_azara,Tityra_cayana,Trogon_viridis,Selenidera_reinwardtii,Tachyphonus_rufiventer,Leontocebus_nigrifrons,Saguinus_mystax,Saltator_coerulescens
ML03,6.474004437596615e-4,6.474004437596615e-4,0.04240472906625783,0.0042081028844378,0.0016185011093991536,3.2370022187983076e-4,0.003884402662557969,6.474004437596615e-4,3.2370022187983076e-4,0.0064740044375966145,3.2370022187983076e-4,6.474004437596615e-4,0.0035607024406781383,0.0019422013312789844,0.0042081028844378,3.2370022187983076e-4,3.2370022187983076e-4,3.2370022187983076e-4,3.2370022187983076e-4,3.2370022187983076e-4,6.474004437596615e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML05,0,0,0.04172136193117818,0.004563273961222614,0,0,0.0032594814008732958,0,0,0.0019556888405239774,0,6.518962801746591e-4,0,0,0,0,0,0,0,0,0,0.0013037925603493182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML20,0,0,0.011734133043143864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML26,0,0,0,0,0,0,0,0,0,0,0,0,0.003911377681047955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML27,0,0,0.01466766630392983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML31,0,0,0.011734133043143864,0.003911377681047955,0,0,0,0,0,0,0,0,0.0026075851206986364,0,0.0026075851206986364,0,0,0,0,0,0,0,0.0013037925603493182,0.0013037925603493182,0.0026075851206986364,0.0013037925603493182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML34,0,0,0.0030281633659726102,0,0,0.0015140816829863051,0.007570408414931526,0.0015140816829863051,0,0.0030281633659726102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML35,0.011734133043143864,0,0.04224287895531791,0.002346826608628773,0,0,0,0,0,0,0.004693653217257546,0.002346826608628773,0,0,0,0,0,0,0.002346826608628773,0,0,0,0,0,0,0,0.002346826608628773,0.002346826608628773,0.002346826608628773,0.002346826608628773,0.002346826608628773,0,0,0,0,0,0,0,0,0,0,0,0
ML37,0,0,0.02346826608628773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML40,0,0,0.00782275536209591,0.0019556888405239774,0,0.0019556888405239774,0,0,0,0,0,0,6.518962801746591e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.518962801746591e-4,0,0,0,0,0,0,0,0,0,0,0
ML47,0,0,0.02346826608628773,0,0,0,0.061604198476505286,0,0,0,0.002933533260785966,0,0,0.002933533260785966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005867066521571932,0.002933533260785966,0,0,0,0,0,0,0,0,0
ML52,0,0,0.03129102144838364,0.00782275536209591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML54,0,0,0.03352609440898247,0.013410437763592986,0,0,0,0,0,0,0.026820875527185973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML55,0,0,0.04456600024466761,0.009008021326049834,0,9.482127711631406e-4,0.001422319156744711,0,0,0,0,0,0.002370531927907851,0,0.004266957470234133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013274978796283967,0,0.001422319156744711,4.741063855815703e-4,4.741063855815703e-4,4.741063855815703e-4,0,0,0,0,0
ML59,0.0013037925603493182,0,0.037809984250130234,0.0026075851206986364,0.0013037925603493182,0.0026075851206986364,0,0.0013037925603493182,0,0,0.003911377681047955,0,0.005215170241397273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026075851206986364,0,0,0,0,0,0.0026075851206986364,0,0,0,0
ML60,0,0,0.021121439477658956,0,0,0,0,0,0,0.004693653217257546,0,0,0,0,0.009387306434515092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML61,0,0,0.024225306927780882,0.0030281633659726102,0,0,0,0,0,0,0,0,0.0030281633659726102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML64,0.0041414587211096,0,0.024848752326657595,0,0,0.006902431201849332,0.006902431201849332,0,0,0,0,0,0,0.0013804862403698664,0.0041414587211096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013804862403698664,0,0,0
ML72,0,0,0,0,0,0,0,0,0,0,0,0.011734133043143864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML76,0,0,0.03520239912943159,0,0,0,0.011734133043143864,0,0,0,0,0,0,0,0.002346826608628773,0,0,0,0,0,0,0,0,0,0.007040479825886318,0,0,0,0,0,0,0,0,0,0.004693653217257546,0,0,0,0,0,0,0,0
ML81,0,0,0.011734133043143864,0,0,0,0.009387306434515092,0.002346826608628773,0,0,0,0.009387306434515092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML82,0,0,0,0,0,0,0.003520239912943159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML84,0,0,0.02024713152542471,0,0,0,0,0,0,9.203241602465775e-4,0,0.001840648320493155,0,0,0,0,0,0,0,0,0,0,0,9.203241602465775e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055219449614794655,0.006442269121726044,9.203241602465775e-4
ML91,0,0,0.03520239912943159,0,0,0,0.02346826608628773,0,0,0,0,0,0,0,0.005867066521571932,0,0,0,0,0,0,0,0.005867066521571932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
