ind,Graomys_griseoflavus,Akodon_dolores,Calomys_musculinus,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Bos_taurus
T91,0,0,0,0,0.028684470820969338,9.891196834817012e-4,0,0,0,0
T92,0.010880316518298714,0.009891196834817012,0,0,0,0,0,0,0,0
T93,0.006923837784371909,0.003956478733926805,0,9.891196834817012e-4,0,0,0,0,0,0
T94,0,0.021760633036597428,0,0,0,0,0,0,0,0
T95,0,0,0,0,0,0,9.891196834817012e-4,0,0,0
T96,0.01483679525222552,0.0019782393669634025,0,0.003956478733926805,0,0,9.891196834817012e-4,0,0.003956478733926805,0
T97,0,0.0019782393669634025,0,0,0,0,0.005934718100890208,0,0,0
T98,0,0.010880316518298714,0,0,0,0,0,0,0,0
T99,0,0.013847675568743818,0,0.04945598417408507,0,0,0.0019782393669634025,0,0.002967359050445104,0
T100,0.024727992087042534,0.011869436201780416,0,0.05440158259149357,0,0,0,0,0,0
T101,0.02967359050445104,0.020771513353115726,0,0.005934718100890208,0,0,0.0019782393669634025,0,0,0
T102,0.01483679525222552,0.004945598417408506,0,0.04747774480712166,0,0,0,9.891196834817012e-4,0,0
T103,0,0.02274975272007913,0,0,0,0,0,0,0,0
T105,0.032640949554896145,0.019782393669634024,0,0.006923837784371909,0,0,0,0,0,0.011869436201780416
T106,0.019782393669634024,0.009891196834817012,0,0.04253214638971316,0,0,9.891196834817012e-4,0,9.891196834817012e-4,0
T107,0.026706231454005934,0.002967359050445104,0,0.08704253214638971,0,0,0,0,0,0
T108,0.006923837784371909,0.003956478733926805,0,9.891196834817012e-4,0,0,0,0,0,0
T109,0.01582591493570722,0.020771513353115726,0,0.006923837784371909,0,0,0,0,0,9.891196834817012e-4
T110,0.005934718100890208,0.01582591493570722,0,0.008902077151335312,0,0,9.891196834817012e-4,0,0,0
T111,0.006923837784371909,0.004945598417408506,0,0,0,0.011869436201780416,0.005934718100890208,0,0,0.011869436201780416
T112,0.010880316518298714,0,0,0.002967359050445104,0,0,0.0019782393669634025,0,0,0
T113,0,0,0,0.013847675568743818,0,0,0,0,0,0
T114,0.011869436201780416,0.0019782393669634025,0,0.01483679525222552,0,0,0.0019782393669634025,0,0,0
T115,9.891196834817012e-4,0,0,0.002967359050445104,0,0,9.891196834817012e-4,0,0,0
T116,0.005934718100890208,0.002967359050445104,0.002967359050445104,0,0,0,0,0,0,0
T117,0.017804154302670624,0,0,0.011869436201780416,0,0,0,0,0,0
T118,0.008902077151335312,0.002967359050445104,0,0.025717111770524232,0,0,0,0,0,0.002967359050445104
T120,0.005934718100890208,0.012858555885262116,0,0.003956478733926805,0,0,0,0,0,0
