ind,Genetta_genetta,Cervus_elaphus,Sus_scrofa,NO_ID,Turdus_merula,Rodentia_sp,Vulpes_vulpes,Oryctolagus_cuniculus,Turdus_philomelos
Jmac004,0.06126747080222914,0.12253494160445828,0,0,0,0,0.05105622566852429,0,0
Jmac014,0,0.02039486729173064,0,0,0,0,0,0,0
Jmac016,0,0.011333585190782454,0,0,0,0,0,0,0
Jmac017,0,0.015607725824283493,0.015607725824283493,0,0,0,0,0,0
Jmac018,0,0.050492211401072955,0,0,0,0,0,0,0
Jmac019,0,0.06521148446698806,0,0,0,0,0,0,0
Jmac021,0,0,0,0.04005841852702246,0,0,0,0,0
Jmac023,0,0.07236059697492955,0.012060099495821593,0,0,0,0,0,0
Jmac024,0,0.16849112041396927,0.03744247120310428,0,0,0,0,0,0
Jmac025,0,0.05654376251620363,0,0,0,0,0,0,0
Jmac026,0,0.032027282499909264,0.010675760833303087,0,0,0,0,0.010675760833303087,0.010675760833303087
Jmac027,0,0.06133009646712452,0,0,0.010221682744520753,0,0,0.020443365489041507,0.010221682744520753
Jmac028,0,0.020406283434774224,0.010203141717387112,0,0,0,0,0,0
Jmac002,0,0.01445812164902903,0.01445812164902903,0,0.02891624329805806,0.01445812164902903,0,0,0.01445812164902903
Jmac007,0,0.01020936283650033,0.01020936283650033,0,0,0,0,0,0
Jmac012,0,0.040785402224786174,0,0,0,0,0,0,0
Jmac029,0,0,0.027712025864561573,0,0,0,0,0,0
Jmac009,0,0.010201406944041402,0.010201406944041402,0,0,0,0,0,0
Jmac015,0,0.014613354982748294,0,0,0,0,0,0,0
Jmac006,0,0.08091402884434934,0,0,0,0,0,0,0
Jmac011,0,0.05385996409336009,0,0,0.026929982046680043,0,0,0,0
